ID,y
1,100.2921
2,115.90798
3,97.479614
4,78.64676
5,111.7277
8,92.09221
10,111.05203
11,93.50739
12,115.32289
14,92.08977
15,115.08028
16,103.2883
17,94.30358
19,93.777374
20,104.48921
21,93.07752
22,115.5756
23,94.48985
26,95.13156
28,96.27815
29,94.48985
33,94.48985
35,94.49273
41,94.30358
42,95.07696
43,116.23431
45,103.06839
46,104.39419
51,94.56111
53,83.57168
55,113.79435
56,93.80949
57,103.20006
58,94.98274
59,104.451035
63,112.44425
64,94.11636
65,104.200836
69,95.115074
71,96.09379
72,104.228325
73,93.66194
76,107.25527
77,104.3669
78,114.52422
82,94.36966
83,104.200836
84,94.83413
85,103.5954
87,112.45333
88,94.30358
89,113.567375
91,94.10262
93,95.086205
94,103.175156
95,94.78776
96,111.24288
97,94.03672
98,113.34477
99,94.027466
101,104.97175
103,113.567375
104,94.02553
105,112.072556
110,94.7895
111,112.773125
113,114.728676
114,94.32916
115,111.93697
117,113.567375
120,93.91332
121,113.40402
122,95.30896
123,113.98661
126,113.887634
132,111.92092
135,105.02436
137,104.890594
138,94.19049
140,93.75015
142,111.899315
144,112.921936
148,93.61287
149,113.128586
155,94.72381
156,112.47021
157,94.03672
162,114.75765
163,94.97599
167,93.49352
172,116.23431
179,115.92091
180,95.63688
181,111.95703
182,94.89198
183,113.567375
185,113.567375
187,112.397385
188,94.36966
189,94.57053
191,93.51429
192,111.587006
193,93.96286
194,111.95703
195,93.807396
196,113.49352
198,95.78167
199,112.86076
201,104.48921
204,94.10809
205,103.2883
206,95.12857
210,93.42474
211,104.97175
216,112.75173
219,115.32289
220,93.443115
221,111.45732
226,111.95703
227,94.404335
228,112.86076
230,112.88123
231,94.03672
235,115.5756
236,93.58933
238,112.592125
242,103.50866
243,94.10262
244,78.61665
245,111.37646
247,116.12794
248,94.96932
249,94.94371
250,113.049515
251,93.58933
253,115.5756
254,94.25819
256,94.43037
257,93.18713
258,115.19953
259,94.0868
262,79.072136
266,93.66937
267,112.77196
272,103.70556
273,113.567375
275,95.00449
276,110.16779
279,94.99929
280,104.200836
283,93.43281
285,112.86076
288,113.567375
289,94.53493
290,104.48921
291,93.759544
292,111.58496
293,112.18174
296,93.94298
297,113.20473
298,114.52422
299,94.36966
304,93.51578
305,78.23773
306,93.54142
307,111.95703
311,109.52966
313,111.95703
314,93.914536
316,93.676
324,93.40364
327,93.993385
329,93.39342
330,111.95703
337,105.54064
338,94.52033
339,103.55078
340,93.7957
343,93.99132
345,115.08028
346,95.585815
347,112.684715
349,112.1404
350,93.765076
352,113.85368
353,92.8651
354,79.1152
357,94.37827
358,112.91307
362,112.03005
364,114.4243
365,105.04788
366,94.298195
367,112.94747
368,94.24797
370,79.71407
373,94.72724
377,94.115585
378,111.988106
382,107.25527
384,112.86076
390,94.78776
392,114.38225
393,112.479454
395,94.69001
396,104.419975
399,78.79237
406,111.95703
408,111.95703
409,94.35635
410,78.75738
412,114.0187
413,92.87384
419,94.61254
420,112.372604
421,93.70011
430,106.52792
434,94.36885
436,93.98442
437,93.77902
438,94.045204
439,112.592125
440,94.08254
443,112.80498
446,94.10809
448,94.29115
452,93.97565
453,104.29941
457,103.42694
458,94.36885
459,112.90006
460,103.55307
